,FIPS,CountyName
0,01001,"Autauga County, AL"
1,01003,"Baldwin County, AL"
2,01005,"Barbour County, AL"
3,01007,"Bibb County, AL"
4,01009,"Blount County, AL"
5,01011,"Bullock County, AL"
6,01013,"Butler County, AL"
7,01015,"Calhoun County, AL"
8,01017,"Chambers County, AL"
9,01019,"Cherokee County, AL"
10,01021,"Chilton County, AL"
11,01023,"Choctaw County, AL"
12,01025,"Clarke County, AL"
13,01027,"Clay County, AL"
14,01029,"Cleburne County, AL"
15,01031,"Coffee County, AL"
16,01033,"Colbert County, AL"
17,01035,"Conecuh County, AL"
18,01037,"Coosa County, AL"
19,01039,"Covington County, AL"
20,01041,"Crenshaw County, AL"
21,01043,"Cullman County, AL"
22,01045,"Dale County, AL"
23,01047,"Dallas County, AL"
24,01049,"DeKalb County, AL"
25,01051,"Elmore County, AL"
26,01053,"Escambia County, AL"
27,01055,"Etowah County, AL"
28,01057,"Fayette County, AL"
29,01059,"Franklin County, AL"
30,01061,"Geneva County, AL"
31,01063,"Greene County, AL"
32,01065,"Hale County, AL"
33,01067,"Henry County, AL"
34,01069,"Houston County, AL"
35,01071,"Jackson County, AL"
36,01073,"Jefferson County, AL"
37,01075,"Lamar County, AL"
38,01077,"Lauderdale County, AL"
39,01079,"Lawrence County, AL"
40,01081,"Lee County, AL"
41,01083,"Limestone County, AL"
42,01085,"Lowndes County, AL"
43,01087,"Macon County, AL"
44,01089,"Madison County, AL"
45,01091,"Marengo County, AL"
46,01093,"Marion County, AL"
47,01095,"Marshall County, AL"
48,01097,"Mobile County, AL"
49,01099,"Monroe County, AL"
50,01101,"Montgomery County, AL"
51,01103,"Morgan County, AL"
52,01105,"Perry County, AL"
53,01107,"Pickens County, AL"
54,01109,"Pike County, AL"
55,01111,"Randolph County, AL"
56,01113,"Russell County, AL"
57,01115,"St. Clair County, AL"
58,01117,"Shelby County, AL"
59,01119,"Sumter County, AL"
60,01121,"Talladega County, AL"
61,01123,"Tallapoosa County, AL"
62,01125,"Tuscaloosa County, AL"
63,01127,"Walker County, AL"
64,01129,"Washington County, AL"
65,01131,"Wilcox County, AL"
66,01133,"Winston County, AL"
67,02013,"Aleutians East Borough, AK"
68,02016,"Aleutians West Census Area, AK"
69,02020,"Anchorage Borough/municipality, AK"
70,02050,"Bethel Census Area, AK"
71,02060,"Bristol Bay Borough, AK"
72,02068,"Denali Borough, AK"
73,02070,"Dillingham Census Area, AK"
